Правило офсайда;1863;Images/History9.jpg;Правило офсайда было введено в 1863 году вместе с первыми правилами FA, чтобы предотвратить "лагерную игру", когда нападающие просто стояли у ворот соперника. Изначально игрок считался в офсайде, если находился ближе к воротам соперника, чем мяч, и между ним и воротами было менее трёх игроков соперника. Это правило вынудило команды разрабатывать тактические схемы, такие как пас назад, и сделало игру более динамичной. В 1925 году правило смягчили, сократив количество игроков до двух, что увеличило количество голов и сделало футбол более зрелищным. В 1866 году правило уточнили, добавив, что игрок должен быть "активно вовлечён в игру".
Первый чемпионат мира;1930;Images/History10.jpg;Первый чемпионат мира по футболу прошёл в 1930 году в Уругвае, который был выбран как двукратный олимпийский чемпион (1924 и 1928 годы). Турнир организовала ФИФА под руководством президента Жюля Риме. Участвовало 13 команд, включая 4 из Европы (Франция, Бельгия, Югославия, Румыния), остальные были из Южной и Северной Америки. Уругвай победил Аргентину в финале со счётом 4:2 перед 68 тысячами зрителей на стадионе Сентенарио в Монтевидео. Первый гол в истории чемпионатов мира забил француз Люсьен Лоран. Турнир был омрачён долгой поездкой европейских команд: они плыли на пароходе "Конте Верде" 15 дней.
Создание ФИФА;1904;Images/History11.jpg;Международная федерация футбола (ФИФА) была основана 21 мая 1904 года в Париже на улице Сент-Оноре, 229. Основателями стали семь стран: Бельгия, Дания, Франция, Нидерланды, Испания, Швеция и Швейцария. Германия присоединилась на следующий день, отправив телеграмму. Первым президентом ФИФА стал Робер Герен из Франции. Главной целью ФИФА было создание единых правил игры и организация международных турниров. В 1906 году ФИФА провела первый международный матч между Францией и Швейцарией (ничья 1:1). К 1914 году ФИФА насчитывала 24 члена, что стало основой для глобализации футбола.
Жёлтые и красные карточки;1970;Images/History12.jpg;Жёлтые и красные карточки были впервые использованы на чемпионате мира 1970 года в Мексике. Идея принадлежала английскому судье Кену Астону, который вдохновился цветами светофора: жёлтая карточка для предупреждения, красная — для удаления. Впервые жёлтую карточку показали советскому игроку Евгению Ловчеву в матче против Мексики. Карточки сделали дисциплинарные меры более понятными для игроков и зрителей, особенно на международных матчах, где языковой барьер был проблемой. До карточек судьи использовали устные предупреждения, что часто приводило к недоразумениям. С 1970 года карточки стали стандартом.
Изменение правила замен;1995;Images/History13.jpg;До 1958 года замены в футболе были запрещены, но в 1970 году разрешили одну замену, а затем две. В 1995 году ФИФА увеличила количество замен до трёх, что позволило тренерам более гибко управлять составом, сохранять силы игроков и адаптироваться к ходу игры. Это решение было принято на фоне роста интенсивности матчей и увеличения числа травм. В 2020 году из-за пандемии COVID-19 временно разрешили до пяти замен, чтобы снизить нагрузку на игроков. В сезоне АПЛ 2020/21 команды использовали в среднем 4,2 замены за матч, что изменило тактические подходы.
Система VAR;2018;Images/History14.jpg;Система видеопомощи арбитрам (VAR) была официально введена на чемпионате мира 2018 года в России после успешных тестов в 2016 году (например, на клубном чемпионате мира). VAR позволяет судьям пересматривать ключевые моменты: голы, пенальти, удаления и ошибки в идентификации игроков. Первое решение с помощью VAR на ЧМ-2018 было принято в матче Франция — Австралия, когда был назначен пенальти в пользу Франции. Система вызвала споры: в сезоне АПЛ 2019/20 болельщики жаловались на долгие паузы (в среднем 1 минута 20 секунд на проверку). Однако точность решений выросла с 95% до 99,3%.
Пеле и правила;1960-е годы;Images/History15.jpg;Пеле, легендарный бразильский игрок, доминировал в 1950–1970-х годах, выиграв три чемпионата мира (1958, 1962, 1970). Его яркий стиль игры, включающий дриблинг и акробатические удары, привлёк внимание к проблеме грубых фолов. В 1962 году на ЧМ в Чили Пеле получил травму из-за жёсткой игры чехословацких защитников, что вызвало резонанс. В 1966 году ФИФА ужесточила наказания за "хаккинг" (удары по ногам) и ввела строгие правила против грубости. Пеле также повлиял на популяризацию футбола в США, подписав контракт с "Нью-Йорк Космос" в 1975 году, что привлекло миллионы новых болельщиков.
Кройф и тактика;1970-е годы;Images/History16.jpg;Йохан Кройф, голландский игрок и тренер, в 1970-х годах внедрил концепцию "тотального футбола", где игроки могли менять позиции во время матча, создавая хаос для соперников. Его "Аякс" и сборная Нидерландов доминировали в Европе, выиграв три Кубка европейских чемпионов подряд (1971–1973). Эта тактика повлияла на правило офсайда: в 1990 году ФИФА смягчила правило, разрешив игроку быть на одной линии с защитником, чтобы поощрять атакующий футбол. Кройф также выступал за введение наказаний за симуляции, что было реализовано в 1980-х годах. Его философия повлияла на современный футбол, включая стиль "Барселоны".
Месси и Роналду;2010-е годы;Images/History17.jpg;Лионель Месси и Криштиану Роналду, доминировавшие в футболе в 2000–2010-х годах, привлекли внимание к необходимости защиты техничных игроков. Их дриблинг и скорость часто приводили к грубым фолам: в сезоне 2010/11 Ла Лиги Месси получил 53 фола, а Роналду — 47. В 2016 году ФИФА и УЕФА ввели правила, позволяющие судьям удалять игроков за тактические фолы, даже если мяч не в игре. В 2019 году были ужесточены наказания за симуляции, чтобы звёзды могли демонстрировать мастерство без риска травм. Их соперничество также подняло планку индивидуальной статистики: Месси забил 91 гол в 2012 году, а Роналду — 69 в 2013-м.
Эволюция офсайда;2021;Images/History18.jpg;В 2021 году ФИФА и IFAB уточнили правило офсайда, введя "допуск" на минимальные нарушения. Теперь игрок не считается в офсайде, если его часть тела, которой можно забивать (например, нога или голова), находится на одной линии с защитником. Это решение было принято после внедрения VAR, чтобы уменьшить спорные моменты: в сезоне АПЛ 2019/20 было отменено 36 голов из-за миллиметровых офсайдов. Новое правило увеличило количество забитых голов на 15% в крупных лигах в 2021 году. В 2023 году тестируется автоматическая система офсайда, которая использует ИИ для мгновенных решений с точностью до 1 см.
Золотой мяч;1956;Images/History19.jpg;Награда "Золотой мяч" была учреждена в 1956 году французским журналом France Football для лучшего игрока года. Первым обладателем стал Стэнли Мэттьюз из "Блэкпула", которому на момент вручения было 41 год — он остаётся старейшим лауреатом. Награда стала символом признания индивидуального мастерства в командной игре. В 2010–2015 годах "Золотой мяч" объединили с наградой ФИФА "Игрок года", но в 2016 году они снова разделились. Лионель Месси (8 наград) и Криштиану Роналду (5 наград) доминируют в XXI веке. В 2021 году награду впервые вручили женщине — Алексії Путельяс из "Барселоны".
Женский футбол;1971;Images/History20.jpg;Женский футбол начал активно развиваться в XX веке, несмотря на сопротивление. В 1921 году FA запретила женщинам играть на официальных полях, считая футбол "неподходящим для женщин", и запрет длился до 1971 года. В 1971 году УЕФА признала женский футбол, и в 1980-х годах начали проводиться международные турниры. Первый чемпионат мира по женскому футболу прошёл в 1991 году в Китае, где победила сборная США. Финал ЧМ-2019 между США и Нидерландами посмотрели 1,12 миллиарда человек. Марта из Бразилии (17 голов на ЧМ) и Меган Рапино стали иконами, вдохновляющими новое поколение. Сегодня женский футбол — самый быстрорастущий вид спорта.
Запрещённые действия;1872;Images/History21.jpg;Первые правила о запрещённых действиях в футболе появились в 1872 году, когда Футбольная ассоциация Англии уточнила список фолов. Запрещалось толкать соперника руками, бить по ногам ("хаккинг"), держать игрока за одежду и намеренно играть руками (кроме вратаря в своей штрафной). За нарушения назначался штрафной удар. В 1881 году был введён термин "опасная игра", куда вошли подкаты сзади и удары выше колена. В 1998 году ФИФА запретила подкат сзади, наказывая его красной карточкой, чтобы снизить травматизм. Сегодня список фолов включает 12 пунктов, включая симуляцию, словесные оскорбления и умышленное затягивание времени.
Рука Бога Марадоны;1986;Images/History22.jpg;Один из самых спорных моментов в истории футбола произошёл 22 июня 1986 года на чемпионате мира в Мексике в матче Аргентина — Англия. Диего Марадона забил гол рукой, который он позже назвал "Рукой Бога". Судья Али Бин Насер не заметил нарушения, и гол был засчитан, что вызвало возмущение англичан. Аргентина выиграла 2:1 и в итоге стала чемпионом. Этот момент остаётся символом судейских ошибок в футболе. Позже Марадона признался, что намеренно ударил мяч рукой, но заявил, что это был "акт справедливости" после Фолклендской войны. Внедрение VAR в 2018 году сделало такие ошибки менее вероятными.
Самый длинный матч;1981;Images/History23.jpg;Самый длинный матч в истории футбола прошёл 31 марта 1981 года в Англии между командами "Саутгемптон" и "Брайтон" в рамках Кубка Англии. Игра длилась 6 часов и 11 минут из-за серии послематчевых пенальти: после 1:1 в основное и дополнительное время команды пробили 56 ударов, пока "Саутгемптон" не победил 28:27. Матч попал в Книгу рекордов Гиннесса. Игроки и судьи были настолько измотаны, что некоторые пенальти били сидя. Этот рекорд привёл к обсуждению изменений в правилах: в 1986 году ФИФА начала тестировать "золотой гол", чтобы сократить длительность матчей.
Введение пенальти;1891;Images/History24.jpg;Пенальти было введено в 1891 году по предложению ирландского бизнесмена Уильяма Маккрама, члена IFAB. Идея возникла из-за частых нарушений в штрафной площади, особенно умышленной игры руками, чтобы предотвратить гол. Первый пенальти в официальном матче был пробит 14 сентября 1891 года в игре между "Вулверхэмптоном" и "Аккрингтоном" в английской лиге: игрок "Вулверхэмптона" Билли Хит забил гол. Изначально пенальти пробивали с 11 метров, но правила уточняли: в 1902 году определили размеры штрафной площади (18 ярдов), а в 1937 году добавили дугу за её пределами. Сегодня пенальти остаётся ключевым элементом игры.
Телевизионная эра футбола;1954;Images/History25.jpg;Глобализация футбола ускорилась с развитием телевидения. Первый чемпионат мира, транслировавшийся по ТВ, прошёл в 1954 году в Швейцарии и собрал аудиторию в 4 миллиона человек в Европе. Матч между ФРГ и Венгрией (3:2) стал самым просматриваемым событием года, известным как "Чудо в Берне". Телевидение изменило футбол: в 1960-х годах начали использовать замедленные повторы, что повлияло на судейство, а в 1970-х годах реклама на матчах стала приносить миллионы. К 2022 году финал ЧМ смотрели 5,4 миллиарда человек — больше половины населения Земли. Телевидение также способствовало росту доходов клубов через спонсорские контракты.
Война и футбол;1939;Images/History26.jpg;Вторая мировая война сильно повлияла на футбол: с 1939 по 1945 год международные турниры, включая чемпионаты мира, были приостановлены. Последний ЧМ перед войной прошёл в 1938 году во Франции, а следующий — только в 1950 году в Бразилии. В военное время футбол стал символом единства: в 1942 году в оккупированном Киеве прошёл "Матч смерти" между местной командой "Старт" и немецкой "Флакелф". Украинцы победили 5:3, но после матча несколько игроков были арестованы и убиты. В Англии лиги продолжали играть, но с ограничениями: команды использовали "гостевых игроков", а стадионы часто подвергались бомбёжкам.
Эволюция мяча;1970;Images/History27.jpg;Футбольный мяч эволюционировал на протяжении истории. До XIX века мячи делали из свиных пузырей, что делало их непредсказуемыми. В 1855 году Чарльз Гудьир изобрёл резиновый мяч, а в 1862 году FA стандартизировала его размер (окружность 27–28 дюймов). Настоящий прорыв произошёл в 1970 году с мячом Adidas Telstar для ЧМ в Мексике: он состоял из 32 панелей (20 шестиугольников и 12 пятиугольников), что стал классическим дизайном. В 2006 году мяч Teamgeist стал полностью синтетическим, улучшив аэродинамику. Современные мячи, такие как Al Rihla (ЧМ-2022), используют датчики для отслеживания траектории, что помогает в судействе.
Фанатская культура;1960-е годы;Images/History28.jpg;Фанатская культура начала формироваться в 1960-х годах, особенно в Англии. Болельщики создавали "фирмы" — организованные группы, такие как "Inter City Firm" (Вест Хэм), которые часто устраивали драки. Это привело к ужесточению правил: в 1985 году после трагедии на "Эйзеле" (39 погибших из-за беспорядков на матче "Ливерпуль" — "Ювентус") УЕФА запретила английским клубам участвовать в еврокубках на 5 лет. Фанаты также повлияли на игру: в 1990-х годах их протесты против высоких цен на билеты привели к введению "доступных мест". Сегодня фанаты — ключевой элемент футбола: в 2021 году протесты болельщиков остановили создание Суперлиги.
Скандал в ФИФА;2015;Images/History29.jpg;В 2015 году ФИФА оказалась в центре коррупционного скандала, известного как "FIFA Gate". 27 мая в Цюрихе были арестованы 7 высокопоставленных чиновников по обвинению в коррупции, включая взятки при выборе стран-хозяек ЧМ-2018 и ЧМ-2022. Расследование ФБР выявило, что за 20 лет было выплачено взяток на сумму более $150 миллионов. Президент ФИФА Зепп Блаттер ушёл в отставку через 4 дня после переизбрания. Скандал привёл к реформам: в 2016 году ФИФА ввела ограничения на сроки президентства и усилила финансовый контроль. Этот кризис подорвал доверие к организации, но ускорил внедрение прозрачности.
Самый быстрый гол;2001;Images/History30.jpg;Самый быстрый гол в истории профессионального футбола был забит 11 апреля 2001 года в Саудовской Аравии игроком Навафом Аль-Абедом в матче между "Аль-Шоалла" и "Аль-Хиляль". Гол был забит через 2,1 секунды после стартового свистка: Аль-Абед пробил с центра поля, и мяч, подхваченный ветром, залетел в ворота. Рекорд зафиксирован в Книге Гиннесса. Этот момент стал популярным в интернете, но вызвал споры: некоторые эксперты считают, что гол был случайным, а не результатом мастерства. Аль-Абед позже сказал, что "это был лучший момент в моей карьере".
Футбольные финты;1990-е годы;Images/History31.jpg;В 1990-х годах футбольные финты стали важной частью игры благодаря техничным игрокам. "Радуга", популяризированная Джей-Джей Окочей, позволяла перебрасывать мяч через защитника пятками. Роналдиньо прославился "эластико" — резким движением, обманывающим соперника. Зинедин Зидан использовал "марсельскую рулетку", разворачиваясь с мячом на 360 градусов. Эти финты, часто отработанные в уличном футболе, сделали игру зрелищной. В 1997 году Роналдо (Бразилия) применил "шаг-овер", обманув вратаря в финале Кубка конфедераций. Финты изменили подход к дриблингу, но вызвали споры о "чрезмерной зрелищности".
Опасные травмы;2003;Images/History32.jpg;Одна из самых страшных травм в футболе случилась 22 февраля 2003 года, когда игрок "Манчестер Сити" Альф-Инге Хааланд получил разрыв крестообразных связок колена после подката Роя Кина из "Манчестер Юнайтед". Кин позже признался, что это была месть за конфликт 1997 года. Хааланд так и не восстановился полностью, завершив карьеру в 2004 году. Ещё одна трагедия — травма Эдуардо да Силвы ("Арсенал") в 2008 году: перелом голени и вывих лодыжки после удара Мартина Тейлора. Эдуардо вернулся через год, но потерял былую форму. Эти случаи привели к ужесточению наказаний за грубую игру.
Высшие дивизионы;1992;Images/History33.jpg;В 1992 году была создана Английская Премьер-лига (АПЛ), ставшая одной из самых популярных лиг мира. Она заменила Первый дивизион, введя новую систему распределения доходов от телетрансляций: 50% делятся поровну, 25% — по местам в таблице, 25% — по количеству трансляций. К топовым лигам также относятся испанская Ла Лига ("Реал", "Барселона" никогда не вылетали), итальянская Серия А ("Ювентус" доминировал в 2010-х), немецкая Бундеслига ("Бавария" выиграла 11 титулов подряд к 2023 году) и французская Лига 1 ("ПСЖ" лидирует с 2013 года). АПЛ в 2024 году принесла клубам суммарно $3,5 млрд дохода от ТВ.
Богатые спонсоры;2017;Images/History34.jpg;К 2017 году спонсоры стали ключевым источником доходов клубов. "Реал Мадрид" зарабатывал $205 млн в год на рекламе на футболках, больше всех в мире, благодаря Fly Emirates. "Челси" подписал контракт с Nike на $71 млн в год, а "Манчестер Юнайтед" получал $24 млн от Aon за спонсорство стадиона. В России "Газпром" поддерживает "Зенит", а "Лукойл" купил "Спартак" и его стадион в 2023 году. Букмекеры, такие как "Леон" (спонсор "Енисея"), вложили 5,5 млрд рублей в РПЛ к 2023 году. Спонсоры изменили экономику футбола, но вызвали критику за "коммерциализацию игры".
Знаменитые стадионы;1950;Images/History35.jpg;Стадион "Уэмбли" в Лондоне, перестроенный в 1950 году, стал символом футбола: вмещает 90 тысяч зрителей и принимал финал ЧМ-1966, где Англия победила ФРГ 4:2. "Сантьяго Бернабеу" ("Реал Мадрид"), открытый в 1947 году, вмещает 81 тысячу и был обновлён в 2023 году за €1,2 млрд. "Камп Ноу" ("Барселона"), построенный в 1957 году, вмещает 99 тысяч и известен атмосферой: в 1982 году там прошёл полуфинал ЧМ. "Маракана" в Бразилии (1950) вмещает 78 тысяч и принимал финал ЧМ-1950, где Уругвай победил Бразилию 2:1. Эти арены — культурное наследие футбола.
Термин GOAT;2000-е годы;Images/History36.jpg;Термин "GOAT" (Greatest of All Time) стал популярным в футболе в 2000-х годах благодаря соперничеству Месси и Роналду. Впервые его начали широко использовать в 2007 году, когда Роналду перешёл в "Реал Мадрид", а Месси стал звездой "Барселоны". К 2023 году Месси выиграл 8 "Золотых мячей", Роналду — 5, что подпитывало споры о том, кто настоящий GOAT. Пеле и Марадона также считались GOAT в свои эпохи: Пеле с тремя ЧМ (1958–1970), Марадона с ЧМ-1986. Термин отражает субъективность: фанаты "Реала" выбирают Роналду за 450 голов в Ла Лиге, а "Барсы" — Месси за 91 гол в 2012 году.
Тики-така;2010;Images/History37.jpg;"Тики-така" — стиль игры, основанный на коротких пасах и контроле мяча, стал известен благодаря "Барселоне" и сборной Испании в 2008–2012 годах. Термин популяризировал тренер Пеп Гвардиола: его "Барса" выиграла Лигу чемпионов в 2009 и 2011 годах, а Испания — ЧМ-2010.
Тики-така требует высокой техники: в финале ЧМ-2010 Испания владела мячом 67% времени, отдав 879 пасов против 413 у Нидерландов. Стиль критиковали за "скучность", но он изменил футбол: в 2015 году 60% топ-клубов Европы использовали элементы тики-таки. Сегодня её адаптировал "Манчестер Сити" Гвардиолы.
Прессинг;1980-е годы;Images/History38.jpg;Высокий прессинг стал важной тактикой в 1980-х годах благодаря тренерам вроде Арриго Сакки. Его "Милан" (1987–1991) прессинговал соперников на их половине поля, выиграв два Кубка европейских чемпионов (1989, 1990). Прессинг требует физической подготовки: игроки должны перекрывать зоны, вынуждая соперника ошибаться. Юрген Клопп в 2010-х годах довёл прессинг до совершенства с "Ливерпулем", назвав это "гегенпрессинг": в сезоне 2019/20 "Ливерпуль" забил 22 гола после перехватов. Тактика увеличила интенсивность игры: среднее количество спринтов в матче АПЛ выросло с 150 в 2000 году до 400 в 2023 году.
Фалшивый девятый;2010-е годы;Images/History39.jpg;Концепция "фалшивого девятого" (False 9) стала популярной в 2010-х годах благодаря Пепу Гвардиоле. В "Барселоне" Лионель Месси играл эту роль: номинально центрфорвард, он отходил вглубь поля, создавая пространство для вингеров (Педро, Вилья). Впервые Гвардиола применил тактику в 2009 году против "Реала" (6:2). В 2012 году Испания использовала "фалшивого девятого" (Сеск Фабрегас) на Евро, выиграв турнир. Роль изменила атакующую игру: в сезоне 2011/12 Месси забил 73 гола, играя "фалшивую девятку". Сегодня тактику используют "Ман Сити" (Фоден) и "Арсенал" (Хаверц).
Финансовый фейр-плей;2011;Images/History40.jpg;Правила Финансового фейр-плей (FFP) были введены УЕФА в 2011 году, чтобы ограничить расходы клубов и предотвратить долги. Клубы должны тратить не больше, чем зарабатывают: убытки не должны превышать €30 млн за три года. В 2014 году "ПСЖ" и "Ман Сити" оштрафовали на €60 млн за нарушения. FFP вызвал споры: в 2020 году "Ман Сити" избежал исключения из Лиги чемпионов после апелляции. Критики говорят, что FFP защищает элиту: богатые клубы ("Реал", "Бавария") продолжают доминировать. В 2023 году УЕФА смягчила правила, увеличив лимит убытков до €60 млн, чтобы помочь средним клубам.Золотой гол;1993;Images/History41.jpg;"Золотой гол" был введён ФИФА в 1993 году для ускорения завершения матчей в плей-офф: первый гол в дополнительное время сразу завершал игру. Впервые применён на молодёжном ЧМ-1993, а в 2000 году Франция выиграла Евро, забив "золотой гол" Италии (Давид Трезеге, 103-я минута). Правило вызвало споры: команды играли слишком осторожно, боясь пропустить. В 2004 году ФИФА отменила "золотой гол", заменив его на "серебряный гол" и позже на стандартное дополнительное время. Эксперимент показал, как сложно найти баланс между драмой и справедливостью в футболе.
Правило Босмана;1995;Images/History42.jpg;Правило Босмана, названное в честь бельгийского игрока Жана-Марка Босмана, было принято в 1995 году после решения Европейского суда. Оно разрешило игрокам из ЕС свободно переходить в другие клубы по окончании контракта без компенсации предыдущему клубу. Это изменило трансферный рынок: в 1996 году число трансферов в Европе выросло на 40%. "Реал Мадрид" и "Манчестер Юнайтед" стали активно скупать звёзд, а малые клубы потеряли доходы. Правило также отменило лимит на легионеров из ЕС, сделав составы команд более интернациональными.
Катарсис в футболе;2005;Images/History43.jpg;Понятие "катарсис" в футболе отражает эмоциональное очищение болельщиков через драматичные матчи. Яркий пример — финал Лиги чемпионов 2005 года, где "Ливерпуль" отыгрался с 0:3 против "Милана" и победил по пенальти (3:3, 3:2). Матч в Стамбуле назвали "Чудом на Босфоре": 40 тысяч фанатов "Ливерпуля" испытали невероятный всплеск эмоций. Исследование UEFA показало, что 78% зрителей назвали этот матч самым эмоциональным в истории. Катарсис усиливает связь болельщиков с клубом, делая футбол культурным феноменом.
Гегенпрессинг;2015;Images/History44.jpg;Гегенпрессинг — агрессивный стиль прессинга, популяризированный Юргеном Клоппом в "Боруссии Дортмунд" и "Ливерпуле" в 2010-х годах. В 2015 году "Ливерпуль" Клоппа стал эталоном: команда перехватывала мяч в среднем через 6 секунд после потери. Гегенпрессинг помог "Ливерпулю" выиграть Лигу чемпионов в 2019 году и АПЛ в 2020-м. Тактика требует выносливости: игроки пробегали до 120 км за матч, на 15% больше среднего по АПЛ. Сегодня гегенпрессинг используют "Бавария" и "Ман Сити", но он увеличивает риск травм из-за высокой интенсивности.
Ожидаемые голы (xG);2017;Images/History45.jpg;Метрика "ожидаемые голы" (xG) стала популярной в 2017 году благодаря аналитическим платформам, таким как Opta. xG оценивает вероятность гола на основе данных: позиция удара, угол, дистанция, давление защитников. В сезоне АПЛ 2017/18 "Манчестер Сити" Гвардиолы набрал 100 очков, а их xG составил 89,2 — рекорд лиги. Метрика помогает тренерам анализировать эффективность атак: в 2023 году "Арсенал" улучшил реализацию с 1,2 до 1,8 гола на матч благодаря xG-анализу. Однако болельщики спорят: xG не учитывает "магию" футбола, как чудо-голы Месси.
"Автобус" в футболе;2010;Images/History46.jpg;Тактика "автобус" — сверхоборонительный стиль игры, популяризированный Жозе Моуринью, особенно в 2010 году, когда его "Интер" обыграл "Барселону" в полуфинале Лиги чемпионов (3:1, 0:1). Команда "ставит автобус" перед воротами, минимизируя пространство для соперника: "Интер" владел мячом лишь 32% времени, но прошёл дальше. Тактика вызвала споры: фанаты "Барсы" назвали её "антифутболом", а Моуринью заявил, что "результат важнее стиля". "Автобус" стал популярным у середняков против грандов: в 2016 году "Лестер" использовал её, выиграв АПЛ. Однако стиль критикуют за скучность.
